Knoten 1,Knoten 2,relation,year
CS,B1,Teilnahme,2018
CS,BIP,Teilnahme,2019
CS,PUP,Teilnahme,2020
CS,PG,Teilnahme,2022
CS,DGPB,Teilnahme,2022
CS,FB,Teilnahme,2018
CS,DS,Teilnahme,2021
CS,PB,Teilnahme,2020
KY,B1,Teilnahme,2018
SVW,B1,Teilnahme,2018
SVW,BIP,Teilnahme,2018
JCW,B1,Teilnahme,2018
JN,B1,Teilnahme,2018
SK,B1,Teilnahme,2018
SK,BIP,Teilnahme,2021
SK,BATN,Teilnahme,2020
AS,B1,Teilnahme,2018
AT,B1,Teilnahme,2018
LR,B1,Teilnahme,2018
L,B1,Teilnahme,2018
DV,B1,Teilnahme,2018
AS,BIP,Teilnahme,2019
AT,HIE,Teilnahme,2018
AT,BS,Teilnahme,2020
AT,5SFL,Teilnahme,2021
AT,BIP,Teilnahme,2021
DV,PBP,Teilnahme,2018
ME,B1,Teilnahme,2018
ME,BIP,Teilnahme,2019
ME,TI,Teilnahme,2021
ME,BATN,Teilnahme,2021
ME,PG,Teilnahme,2022
MS,B1,Teilnahme,2018
MS,BIP,Teilnahme,2019
CB,B1,Teilnahme,2018
JA,B1,Teilnahme,2018
RP,B1,Teilnahme,2018
RP,BIP,Teilnahme,2021
AO,B1,Teilnahme,2018
MH,B2,Teilnahme,2021
MH,B1,Teilnahme,2018
JW,B1,Teilnahme,2018
NK,B1,Teilnahme,2018
NK,B2,Teilnahme,2018
NK,DOI,Teilnahme ,2019
YK,B1,Teilnahme,2018
YK,SDS,Teilnahme,2019
YK,MLFL,Teilnahme,2022
YK,KRS,Teilnahme,2022
JCJ,B1,Teilnahme,2019
JCJ,BIP,Teilnahme,2019
LK,B1,Teilnahme,2018
